date = 2024-06-30 18:56:44.770, timestamp = 345687409436832, x = 894, y = 987
date = 2024-06-30 18:56:46.629, timestamp = 345689268905582, x = 165, y = 193
date = 2024-06-30 18:56:48.559, timestamp = 345691198359748, x = 68, y = 1935
date = 2024-06-30 18:56:50.297, timestamp = 345692936462873, x = 719, y = 2025
date = 2024-06-30 18:56:52.014, timestamp = 345694653249331, x = 637, y = 210
date = 2024-06-30 18:56:53.746, timestamp = 345696385751935, x = 410, y = 1056
date = 2024-06-30 18:56:55.560, timestamp = 345698199387872, x = 513, y = 1770
date = 2024-06-30 18:56:57.482, timestamp = 345700121601934, x = 678, y = 62
date = 2024-06-30 18:56:59.297, timestamp = 345701936120163, x = 414, y = 1993
date = 2024-06-30 18:57:01.049, timestamp = 345703688430580, x = 787, y = 2008
date = 2024-06-30 18:57:02.721, timestamp = 345705360714954, x = 468, y = 1466
date = 2024-06-30 18:57:04.580, timestamp = 345707219817037, x = 284, y = 1672
date = 2024-06-30 18:57:06.593, timestamp = 345709232848808, x = 313, y = 189
date = 2024-06-30 18:57:08.335, timestamp = 345710974692037, x = 869, y = 757
date = 2024-06-30 18:57:10.329, timestamp = 345712968375370, x = 113, y = 286
date = 2024-06-30 18:57:12.094, timestamp = 345714733286307, x = 434, y = 960
date = 2024-06-30 18:57:13.923, timestamp = 345716562500369, x = 707, y = 2034
date = 2024-06-30 18:57:16.535, timestamp = 345719174702452, x = 119, y = 1021
date = 2024-06-30 18:57:18.400, timestamp = 345721038996202, x = 523, y = 228
date = 2024-06-30 18:57:20.274, timestamp = 345722912985785, x = 85, y = 356
date = 2024-06-30 18:57:21.998, timestamp = 345724637514951, x = 351, y = 1385
date = 2024-06-30 18:57:23.883, timestamp = 345726522424847, x = 91, y = 1709
date = 2024-06-30 18:57:25.804, timestamp = 345728443104534, x = 915, y = 261
date = 2024-06-30 18:57:27.672, timestamp = 345730311379534, x = 344, y = 199
date = 2024-06-30 18:57:29.423, timestamp = 345732062649325, x = 463, y = 1252
date = 2024-06-30 18:57:31.388, timestamp = 345734027779533, x = 330, y = 117
date = 2024-06-30 18:57:33.155, timestamp = 345735794584741, x = 719, y = 765
date = 2024-06-30 18:57:34.904, timestamp = 345737542948283, x = 492, y = 675
date = 2024-06-30 18:57:36.596, timestamp = 345739235789428, x = 283, y = 1340
date = 2024-06-30 18:57:38.275, timestamp = 345740914669636, x = 729, y = 1849
date = 2024-06-30 18:57:40.012, timestamp = 345742651355574, x = 206, y = 1895
date = 2024-06-30 18:57:41.722, timestamp = 345744361826927, x = 601, y = 868
date = 2024-06-30 18:57:43.383, timestamp = 345746022175886, x = 823, y = 1241
date = 2024-06-30 18:57:44.977, timestamp = 345747616898802, x = 523, y = 1396
date = 2024-06-30 18:57:46.783, timestamp = 345749422688906, x = 97, y = 1816
date = 2024-06-30 18:57:48.568, timestamp = 345751207169114, x = 979, y = 1219
date = 2024-06-30 18:57:50.156, timestamp = 345752795070155, x = 370, y = 1581
date = 2024-06-30 18:57:51.775, timestamp = 345754414705572, x = 546, y = 1029
date = 2024-06-30 18:57:53.614, timestamp = 345756253243592, x = 710, y = 42
date = 2024-06-30 18:57:55.239, timestamp = 345757878872759, x = 800, y = 1046
date = 2024-06-30 18:57:57.002, timestamp = 345759641102967, x = 280, y = 89
date = 2024-06-30 18:57:58.853, timestamp = 345761491971196, x = 594, y = 1768
date = 2024-06-30 18:58:00.446, timestamp = 345763085095154, x = 650, y = 958
date = 2024-06-30 18:58:02.238, timestamp = 345764877094112, x = 102, y = 1508
date = 2024-06-30 18:58:04.000, timestamp = 345766639165466, x = 315, y = 1966
date = 2024-06-30 18:58:05.831, timestamp = 345768470181611, x = 227, y = 1764
date = 2024-06-30 18:58:07.577, timestamp = 345770216765465, x = 575, y = 1898
date = 2024-06-30 18:58:09.385, timestamp = 345772024096194, x = 344, y = 310
date = 2024-06-30 18:58:11.160, timestamp = 345773799232131, x = 1010, y = 388
date = 2024-06-30 18:58:13.010, timestamp = 345775649858694, x = 550, y = 114
date = 2024-06-30 18:58:14.772, timestamp = 345777410963381, x = 634, y = 99
date = 2024-06-30 18:58:16.418, timestamp = 345779057219631, x = 483, y = 407
date = 2024-06-30 18:58:18.232, timestamp = 345780871507130, x = 375, y = 67
date = 2024-06-30 18:58:20.102, timestamp = 345782741354526, x = 744, y = 2038
date = 2024-06-30 18:58:21.834, timestamp = 345784472974317, x = 386, y = 313
date = 2024-06-30 18:58:23.610, timestamp = 345786248947234, x = 741, y = 1286
date = 2024-06-30 18:58:25.321, timestamp = 345787960706608, x = 1031, y = 362
date = 2024-06-30 18:58:27.025, timestamp = 345789664615462, x = 174, y = 922
date = 2024-06-30 18:58:28.729, timestamp = 345791368311295, x = 433, y = 478
date = 2024-06-30 18:58:30.480, timestamp = 345793119421712, x = 673, y = 1689
date = 2024-06-30 18:58:32.207, timestamp = 345794846279003, x = 68, y = 1250
date = 2024-06-30 18:58:33.933, timestamp = 345796572740982, x = 1027, y = 1244
date = 2024-06-30 18:58:35.746, timestamp = 345798385820669, x = 47, y = 1770
date = 2024-06-30 18:58:37.325, timestamp = 345799964621711, x = 916, y = 938
date = 2024-06-30 18:58:39.104, timestamp = 345801743350877, x = 576, y = 2054
date = 2024-06-30 18:58:41.165, timestamp = 345803804539418, x = 435, y = 70
date = 2024-06-30 18:58:42.940, timestamp = 345805579659210, x = 102, y = 1626
date = 2024-06-30 18:58:44.758, timestamp = 345807397271189, x = 957, y = 1870
date = 2024-06-30 18:58:46.434, timestamp = 345809073826397, x = 784, y = 522
date = 2024-06-30 18:58:48.010, timestamp = 345810649892022, x = 331, y = 1161
date = 2024-06-30 18:58:49.715, timestamp = 345812354911292, x = 200, y = 710
date = 2024-06-30 18:58:51.379, timestamp = 345814018280563, x = 349, y = 238
date = 2024-06-30 18:58:53.037, timestamp = 345815675981083, x = 481, y = 1622
date = 2024-06-30 18:58:54.664, timestamp = 345817303287333, x = 104, y = 1438
date = 2024-06-30 18:58:56.162, timestamp = 345818801646708, x = 628, y = 877
date = 2024-06-30 18:58:57.684, timestamp = 345820323343062, x = 613, y = 1007
date = 2024-06-30 18:58:59.456, timestamp = 345822095125874, x = 606, y = 63
date = 2024-06-30 18:59:01.122, timestamp = 345823761751915, x = 629, y = 1035
date = 2024-06-30 18:59:02.720, timestamp = 345825358958686, x = 420, y = 856
date = 2024-06-30 18:59:04.423, timestamp = 345827062519102, x = 429, y = 556
date = 2024-06-30 18:59:06.150, timestamp = 345828789592019, x = 664, y = 212
date = 2024-06-30 18:59:07.806, timestamp = 345830444977435, x = 728, y = 1560
date = 2024-06-30 18:59:09.432, timestamp = 345832071401914, x = 787, y = 711
date = 2024-06-30 18:59:11.289, timestamp = 345833928598789, x = 59, y = 1302
date = 2024-06-30 18:59:13.070, timestamp = 345835709446705, x = 455, y = 440
date = 2024-06-30 18:59:15.009, timestamp = 345837648464413, x = 1013, y = 1082
date = 2024-06-30 18:59:16.709, timestamp = 345839348455038, x = 756, y = 209
date = 2024-06-30 18:59:18.439, timestamp = 345841078683684, x = 999, y = 332
date = 2024-06-30 18:59:20.116, timestamp = 345842755209725, x = 133, y = 559
date = 2024-06-30 18:59:21.792, timestamp = 345844431598266, x = 690, y = 625
date = 2024-06-30 18:59:23.575, timestamp = 345846214236808, x = 467, y = 438
date = 2024-06-30 18:59:25.328, timestamp = 345847967411287, x = 218, y = 943
date = 2024-06-30 18:59:27.104, timestamp = 345849742979516, x = 829, y = 359
date = 2024-06-30 18:59:28.935, timestamp = 345851574382640, x = 529, y = 579
date = 2024-06-30 18:59:30.615, timestamp = 345853254346182, x = 833, y = 1196
date = 2024-06-30 18:59:32.441, timestamp = 345855080705036, x = 990, y = 328
date = 2024-06-30 18:59:34.065, timestamp = 345856703991494, x = 531, y = 866
date = 2024-06-30 18:59:35.986, timestamp = 345858625500868, x = 108, y = 819
date = 2024-06-30 18:59:37.798, timestamp = 345860437380035, x = 629, y = 564
date = 2024-06-30 18:59:39.504, timestamp = 345862143697743, x = 964, y = 1538
date = 2024-06-30 18:59:41.218, timestamp = 345863857091493, x = 307, y = 1396
date = 2024-06-30 18:59:42.934, timestamp = 345865573187846, x = 1011, y = 1219
date = 2024-06-30 18:59:44.779, timestamp = 345867418666492, x = 929, y = 392
date = 2024-06-30 18:59:46.578, timestamp = 345869217371700, x = 49, y = 1572
date = 2024-06-30 18:59:48.496, timestamp = 345871135140450, x = 743, y = 294
date = 2024-06-30 18:59:50.201, timestamp = 345872840136283, x = 574, y = 1270
date = 2024-06-30 18:59:52.158, timestamp = 345874797493053, x = 493, y = 49
date = 2024-06-30 18:59:53.862, timestamp = 345876501431595, x = 734, y = 427
date = 2024-06-30 18:59:55.481, timestamp = 345878120797740, x = 586, y = 1296
date = 2024-06-30 18:59:57.325, timestamp = 345879964892532, x = 947, y = 139
date = 2024-06-30 18:59:59.060, timestamp = 345881699031073, x = 402, y = 378
date = 2024-06-30 19:00:00.862, timestamp = 345883501682115, x = 71, y = 1484
date = 2024-06-30 19:00:02.486, timestamp = 345885125314406, x = 959, y = 1492
date = 2024-06-30 19:00:04.108, timestamp = 345886747571697, x = 525, y = 1475
date = 2024-06-30 19:00:05.706, timestamp = 345888345425864, x = 760, y = 1828
date = 2024-06-30 19:00:05.915, timestamp = 345888554844614, x = 707, y = 1781
date = 2024-06-30 19:00:07.569, timestamp = 345890208347739, x = 334, y = 1442
date = 2024-06-30 19:00:09.389, timestamp = 345892028881592, x = 217, y = 352
date = 2024-06-30 19:00:09.930, timestamp = 345892569062842, x = 227, y = 566
date = 2024-06-30 19:00:11.632, timestamp = 345894271406592, x = 476, y = 1049
date = 2024-06-30 19:00:12.964, timestamp = 345895603282113, x = 482, y = 1071
date = 2024-06-30 19:00:14.788, timestamp = 345897427849300, x = 889, y = 1589
date = 2024-06-30 19:00:16.050, timestamp = 345898689289404, x = 895, y = 1555
date = 2024-06-30 19:00:17.782, timestamp = 345900421203987, x = 890, y = 1386
date = 2024-06-30 19:00:18.964, timestamp = 345901603179508, x = 904, y = 1357
date = 2024-06-30 19:00:20.731, timestamp = 345903370638882, x = 451, y = 1677
date = 2024-06-30 19:00:21.735, timestamp = 345904374179507, x = 449, y = 1679
date = 2024-06-30 19:00:23.470, timestamp = 345906109284194, x = 166, y = 901
date = 2024-06-30 19:00:24.625, timestamp = 345907264558153, x = 156, y = 917
date = 2024-06-30 19:00:26.367, timestamp = 345909006703465, x = 536, y = 168
date = 2024-06-30 19:00:27.574, timestamp = 345910213427944, x = 559, y = 134
date = 2024-06-30 19:00:29.270, timestamp = 345911909236798, x = 384, y = 2009
date = 2024-06-30 19:00:30.996, timestamp = 345913635217006, x = 69, y = 1543
date = 2024-06-30 19:00:32.614, timestamp = 345915253471172, x = 703, y = 274
date = 2024-06-30 19:00:34.418, timestamp = 345917057494089, x = 113, y = 1983
date = 2024-06-30 19:00:36.212, timestamp = 345918851350338, x = 679, y = 1778
date = 2024-06-30 19:00:37.863, timestamp = 345920502607109, x = 807, y = 933
date = 2024-06-30 19:00:39.392, timestamp = 345922031842005, x = 509, y = 791
date = 2024-06-30 19:00:40.974, timestamp = 345923613718567, x = 704, y = 368
date = 2024-06-30 19:00:42.816, timestamp = 345925455405546, x = 908, y = 1737
date = 2024-06-30 19:00:44.650, timestamp = 345927289717525, x = 777, y = 1857
date = 2024-06-30 19:00:46.187, timestamp = 345928826732108, x = 546, y = 1420
date = 2024-06-30 19:00:47.998, timestamp = 345930637344087, x = 724, y = 1660
date = 2024-06-30 19:00:49.771, timestamp = 345932410741482, x = 963, y = 1549
